,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Jan,1,24,22,19,20,17,14,88,82,74,30.36,30.30,30.20,10,7,2,9,7,  -,0.00,Snow
1,Jan,2,24,19,14,16,11,5,88,73,53,30.52,30.45,30.29,10,9,2,12,8,  -,0.00,Snow
2,Jan,3,24,17,10,19,12,6,85,73,55,30.48,30.25,30.02,10,9,2,20,10,24,0.00,Snow
3,Jan,4,27,24,21,21,20,18,93,83,74,30.11,30.05,29.95,10,6,2,16,11,18,0.01,Snow
4,Jan,5,34,29,24,30,27,19,93,86,74,29.92,29.59,29.46,10,4,1,21,14,26,0.03,"Rain	,Snow"
5,Jan,6,34,31,28,28,25,21,93,79,61,29.85,29.76,29.59,10,7,1,16,10,22,0.01,Snow
6,Jan,7,43,36,28,27,24,21,75,64,53,29.86,29.82,29.77,10,10,10,12,9,  -,0.00,	Â 
7,Jan,8,33,27,21,28,24,15,88,80,69,30.00,29.86,29.79,10,7,2,14,7,18,0.01,Snow
8,Jan,9,23,18,12,14,9,3,88,68,46,30.19,30.11,29.97,10,9,4,20,10,26,0.00,Snow
